episode_id,scenario_type,priority_hint,policy,sample_idx,chosen_vendor_id,chosen_vendor_name,is_doordash_choice,total_cost,eta_min,rating,delivery_fee_usd,service_fee_pct,weights_json
episode_001,dominated,value,price_first,,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,
episode_001,dominated,value,eta_first,,ep001_vendor_006,GoMeals006,False,24.5,15,2.84,1.0,15.49,
episode_001,dominated,value,rating_first,,ep001_vendor_091,DashExpress091,False,34.05,69,4.87,9.37,14.99,
episode_001,dominated,value,balanced_equation,,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,
episode_001,dominated,value,random_equation,0,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.34466679083623125, 0.22172666516332434, 0.02216742941822887, 0.4114391145822155]"
episode_001,dominated,value,random_equation,1,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.022139225473723406, 0.025419931342172533, 0.738758849282549, 0.2136819939015551]"
episode_001,dominated,value,random_equation,2,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.21136606861971063, 0.36129578893940656, 0.12233557233114502, 0.30500257010973775]"
episode_001,dominated,value,random_equation,3,ep001_vendor_040,PrimeLane040,False,24.67,28,4.47,1.1,5.96,"[0.17307432949766197, 0.01930805678356439, 0.16538781699068722, 0.6422297967280864]"
episode_001,dominated,value,random_equation,4,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.4768507623510771, 0.18265084221285208, 0.24003684060218478, 0.10046155483388608]"
episode_001,dominated,value,random_equation,5,ep001_vendor_006,GoMeals006,False,24.5,15,2.84,1.0,15.49,"[0.03452579644014784, 0.5899167682510005, 0.12995766388248448, 0.24559977142636716]"
episode_001,dominated,value,random_equation,6,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.6943307856806424, 0.11897326472878508, 0.016732646805075815, 0.16996330278549657]"
episode_001,dominated,value,random_equation,7,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.7343822689722043, 0.028312467964130356, 0.22602476114475173, 0.011280501918913681]"
episode_001,dominated,value,random_equation,8,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.5009079937682158, 0.12223060616336387, 0.1479549001110466, 0.22890649995737364]"
episode_001,dominated,value,random_equation,9,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.4543214618420911, 0.09722534484704286, 0.4412799269978344, 0.007173266313031643]"
episode_001,dominated,value,random_equation,10,ep001_vendor_006,GoMeals006,False,24.5,15,2.84,1.0,15.49,"[0.2928460819193602, 0.4333401006098488, 0.029820801013005493, 0.24399301645778554]"
episode_001,dominated,value,random_equation,11,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.1452852785578562, 0.49750339030195045, 0.1594056067234951, 0.19780572441669828]"
episode_001,dominated,value,random_equation,12,ep001_vendor_006,GoMeals006,False,24.5,15,2.84,1.0,15.49,"[0.13074369333244265, 0.4116651213725414, 0.06944514635088837, 0.3881460389441275]"
episode_001,dominated,value,random_equation,13,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.21087384284477043, 0.13537136013424397, 0.38549928498832003, 0.26825551203266557]"
episode_001,dominated,value,random_equation,14,ep001_vendor_050,QuickDrop050,False,26.91,16,4.72,7.09,2.6,"[0.11584172288660623, 0.36073547072693707, 0.5165839256376318, 0.006838880748825024]"
episode_001,dominated,value,random_equation,15,ep001_vendor_006,GoMeals006,False,24.5,15,2.84,1.0,15.49,"[0.11605205581724723, 0.7962204890123069, 0.021292814753455475, 0.06643464041699042]"
episode_001,dominated,value,random_equation,16,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.040461970311469156, 0.02073400928931843, 0.5191075369945847, 0.4196964834046278]"
episode_001,dominated,value,random_equation,17,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.6495391600159269, 0.045593683365730164, 0.11329026695446708, 0.1915768896638758]"
episode_001,dominated,value,random_equation,18,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.6362474278519262, 0.1264985340708903, 0.00206291627032856, 0.23519112180685492]"
episode_001,dominated,value,random_equation,19,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.4862688261431631, 0.4724030895736529, 0.029656545133180643, 0.011671539150003326]"
episode_001,dominated,value,random_equation,20,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.13817905259368748, 0.03508574870230886, 0.4523251707984624, 0.3744100279055412]"
episode_001,dominated,value,random_equation,21,ep001_vendor_030,RocketNow030,False,24.86,66,4.58,1.11,15.68,"[0.23870540940909257, 0.00434225098627238, 0.32246827401275036, 0.43448406559188474]"
episode_001,dominated,value,random_equation,22,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.4682231886174947, 0.04550664442284047, 0.38198506034717666, 0.10428510661248831]"
episode_001,dominated,value,random_equation,23,ep001_vendor_050,QuickDrop050,False,26.91,16,4.72,7.09,2.6,"[0.16533053787049662, 0.35502970186217214, 0.46464929266861826, 0.014990467598712767]"
episode_001,dominated,value,random_equation,24,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.2319286877652824, 0.36617514281493496, 0.0931141864769891, 0.3087819829427937]"
episode_001,dominated,value,random_equation,25,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.12124118853664145, 0.39287624591131826, 0.3841377438835535, 0.10174482166848667]"
episode_001,dominated,value,random_equation,26,ep001_vendor_006,GoMeals006,False,24.5,15,2.84,1.0,15.49,"[0.033793445561099755, 0.9445500152430523, 0.009711375584799944, 0.011945163611048113]"
episode_001,dominated,value,random_equation,27,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.03756248290083768, 0.031793698462651544, 0.7271195537314029, 0.20352426490510783]"
episode_001,dominated,value,random_equation,28,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.11497093028184154, 0.07931882529452153, 0.7066259244646396, 0.09908431995899736]"
episode_001,dominated,value,random_equation,29,ep001_vendor_006,GoMeals006,False,24.5,15,2.84,1.0,15.49,"[0.17321167292471706, 0.6088461545553882, 0.08308628291179064, 0.1348558896081041]"
episode_001,dominated,value,random_equation,30,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.3499171783241048, 0.4857927298965704, 0.0942469026976632, 0.07004318908166154]"
episode_001,dominated,value,random_equation,31,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.6750317049851163, 0.04598936148064341, 0.1943540821143589, 0.08462485141988144]"
episode_001,dominated,value,random_equation,32,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.24468195248380836, 0.1860974472412927, 0.3966874202518464, 0.17253318002305254]"
episode_001,dominated,value,random_equation,33,ep001_vendor_006,GoMeals006,False,24.5,15,2.84,1.0,15.49,"[0.04604596659366238, 0.8880626296317978, 0.03932708110119134, 0.02656432267334851]"
episode_001,dominated,value,random_equation,34,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.2832865098638386, 0.42858030673484254, 0.11081104969257342, 0.1773221337087453]"
episode_001,dominated,value,random_equation,35,ep001_vendor_040,PrimeLane040,False,24.67,28,4.47,1.1,5.96,"[0.11304281072679673, 0.031093872599301808, 0.2620789658187238, 0.5937843508551777]"
episode_001,dominated,value,random_equation,36,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.04381455571579849, 0.07847664171840527, 0.8424722146387882, 0.03523658792700808]"
episode_001,dominated,value,random_equation,37,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.2557530670128106, 0.214347800762543, 0.06028691030672098, 0.4696122219179254]"
episode_001,dominated,value,random_equation,38,ep001_vendor_006,GoMeals006,False,24.5,15,2.84,1.0,15.49,"[0.05228929726550115, 0.6724094685913078, 0.008144829986026936, 0.26715640415716424]"
episode_001,dominated,value,random_equation,39,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.4577576875310078, 0.007518781946558145, 0.12195905640926744, 0.4127644741131666]"
episode_001,dominated,value,random_equation,40,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.28957355815585606, 0.124947596964087, 0.5578526587792484, 0.027626186100808532]"
episode_001,dominated,value,random_equation,41,ep001_vendor_050,QuickDrop050,False,26.91,16,4.72,7.09,2.6,"[0.07680575333593574, 0.6716966039036647, 0.14581420914339527, 0.10568343361700447]"
episode_001,dominated,value,random_equation,42,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.5085894664810902, 0.3974373030385428, 0.03200055069946859, 0.06197267978089845]"
episode_001,dominated,value,random_equation,43,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.08902876776436075, 0.019835173923248423, 0.7835040847918849, 0.10763197352050595]"
episode_001,dominated,value,random_equation,44,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.005653618032701475, 0.03700182971772407, 0.8541573614492074, 0.1031871908003672]"
episode_001,dominated,value,random_equation,45,ep001_vendor_040,PrimeLane040,False,24.67,28,4.47,1.1,5.96,"[0.14373067446807306, 0.06894870400656614, 0.21744561693402548, 0.5698750045913352]"
episode_001,dominated,value,random_equation,46,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.37569397614642863, 0.015001075622954817, 0.3237963366049706, 0.285508611625646]"
episode_001,dominated,value,random_equation,47,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.6804656616280591, 0.1966611976799657, 0.050600884319538963, 0.07227225637243621]"
episode_001,dominated,value,random_equation,48,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.43442299036729315, 0.23963763216795955, 0.2515033652016923, 0.07443601226305493]"
episode_001,dominated,value,random_equation,49,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.16711773380498424, 0.2453575957478091, 0.5082529030652537, 0.07927176738195296]"
episode_001,dominated,value,random_equation,50,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.0024268409447688716, 0.27140625015452957, 0.6208476380904676, 0.10531927081023393]"
episode_001,dominated,value,random_equation,51,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.18006979254355657, 0.31231666498331895, 0.3623920847035785, 0.14522145776954593]"
episode_001,dominated,value,random_equation,52,ep001_vendor_040,PrimeLane040,False,24.67,28,4.47,1.1,5.96,"[0.14541751099295935, 0.03035365250722616, 0.11712870782790513, 0.7071001286719094]"
episode_001,dominated,value,random_equation,53,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.17554795037222512, 0.12839717618451274, 0.5343781438220474, 0.16167672962121477]"
episode_001,dominated,value,random_equation,54,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.1562070884073178, 0.2888017382062593, 0.2327229479093884, 0.32226822547703454]"
episode_001,dominated,value,random_equation,55,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.29608508664648453, 0.5388875272127019, 0.15229764996891781, 0.012729736171895652]"
episode_001,dominated,value,random_equation,56,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.20857524518058987, 0.1744717859621869, 0.5210651968392552, 0.09588777201796816]"
episode_001,dominated,value,random_equation,57,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.029668250563078237, 0.1639439833252766, 0.5250275016969167, 0.28136026441472856]"
episode_001,dominated,value,random_equation,58,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.07069752552629924, 0.16152698495447562, 0.5573822847109691, 0.21039320480825613]"
episode_001,dominated,value,random_equation,59,ep001_vendor_040,PrimeLane040,False,24.67,28,4.47,1.1,5.96,"[0.01533050632988665, 0.03431066532727577, 0.03385720276079414, 0.9165016255820435]"
episode_001,dominated,value,random_equation,60,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.1400580670136327, 0.2091548464894883, 0.5448155037372908, 0.10597158275958811]"
episode_001,dominated,value,random_equation,61,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.30569936616556276, 0.20273913248785097, 0.12426435279043987, 0.3672971485561464]"
episode_001,dominated,value,random_equation,62,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.13343904690252187, 0.40190189039932195, 0.3606005757333012, 0.10405848696485505]"
episode_001,dominated,value,random_equation,63,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.1496271571908897, 0.12956574541754132, 0.4578656181370057, 0.26294147925456324]"
episode_001,dominated,value,random_equation,64,ep001_vendor_040,PrimeLane040,False,24.67,28,4.47,1.1,5.96,"[0.05459594108485271, 0.07624027147877824, 0.04637432799227315, 0.822789459444096]"
episode_001,dominated,value,random_equation,65,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.03621554503157114, 0.5074832448881609, 0.28966677534115776, 0.1666344347391101]"
episode_001,dominated,value,random_equation,66,ep001_vendor_040,PrimeLane040,False,24.67,28,4.47,1.1,5.96,"[0.0022316513232303855, 0.23471153569066003, 0.22154934176807878, 0.5415074712180308]"
episode_001,dominated,value,random_equation,67,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.2899659649127117, 0.555728535649879, 0.141598135389664, 0.012707364047745208]"
episode_001,dominated,value,random_equation,68,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.43359727798955383, 0.17946126191319403, 0.08539382882907949, 0.3015476312681725]"
episode_001,dominated,value,random_equation,69,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.09724678823879646, 0.11462593865118609, 0.5196877216519523, 0.2684395514580652]"
episode_001,dominated,value,random_equation,70,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.36026847880811796, 0.3021415877845351, 0.23384750269646412, 0.10374243071088288]"
episode_001,dominated,value,random_equation,71,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.3994837313159059, 0.09391680906971904, 0.050229512260514524, 0.45636994735386066]"
episode_001,dominated,value,random_equation,72,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.6426275651132893, 0.3229051591379541, 0.03382577946464998, 0.0006414962841064936]"
episode_001,dominated,value,random_equation,73,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.32329946477997745, 0.25994426069523924, 0.3640122127014008, 0.05274406182338268]"
episode_001,dominated,value,random_equation,74,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.29723412174036523, 0.5511010205720098, 0.040520961756505686, 0.11114389593111931]"
episode_001,dominated,value,random_equation,75,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.12965079190657328, 0.5169023415251096, 0.20952573706391212, 0.14392112950440505]"
episode_001,dominated,value,random_equation,76,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.2920921985386722, 0.296985743124781, 0.2515051784460038, 0.15941687989054293]"
episode_001,dominated,value,random_equation,77,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.37983943935649994, 0.329314082333481, 0.28763604964484896, 0.0032104286651702015]"
episode_001,dominated,value,random_equation,78,ep001_vendor_050,QuickDrop050,False,26.91,16,4.72,7.09,2.6,"[0.10450614851894749, 0.4496012463490545, 0.33326818357935534, 0.11262442155264271]"
episode_001,dominated,value,random_equation,79,ep001_vendor_040,PrimeLane040,False,24.67,28,4.47,1.1,5.96,"[0.057257075116247565, 0.26872907979376137, 0.18631663467497442, 0.48769721041501674]"
episode_001,dominated,value,random_equation,80,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.24867173332632003, 0.158142948750682, 0.43987492960335933, 0.15331038831963867]"
episode_001,dominated,value,random_equation,81,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.05851276426834367, 0.05022234579455642, 0.7655991356739753, 0.12566575426312473]"
episode_001,dominated,value,random_equation,82,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.3972906032433513, 0.1285798731655171, 0.14023991895417537, 0.3338896046369561]"
episode_001,dominated,value,random_equation,83,ep001_vendor_040,PrimeLane040,False,24.67,28,4.47,1.1,5.96,"[0.05766097477624935, 0.03971535492680223, 0.22408426787939423, 0.6785394024175542]"
episode_001,dominated,value,random_equation,84,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.550122518999219, 0.29425743679599653, 0.007731990615242256, 0.14788805358954224]"
episode_001,dominated,value,random_equation,85,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.003958868264322861, 0.053982938107725684, 0.9035961762561907, 0.038462017371760804]"
episode_001,dominated,value,random_equation,86,ep001_vendor_006,GoMeals006,False,24.5,15,2.84,1.0,15.49,"[0.06204688591785227, 0.4212340593370801, 0.03556364646547211, 0.4811554082795955]"
episode_001,dominated,value,random_equation,87,ep001_vendor_001,FeastMeals001,False,18.89,24,4.4,2.15,3.0,"[0.23100433654207217, 0.04319623683962132, 0.3665719469807104, 0.35922747963759605]"
episode_001,dominated,value,random_equation,88,ep001_vendor_093,CityNow093,False,27.11,25,4.75,1.83,6.17,"[0.05004874169853346, 0.10831437761320252, 0.40389339384489187, 0.4377434868433722]"
