episode_id,scenario_type,priority_hint,policy,sample_idx,chosen_vendor_id,chosen_vendor_name,is_doordash_choice,total_cost,eta_min,rating,reliability_score,cancel_rate_pct,on_time_rate_pct,delivery_fee_usd,service_fee_pct,weights_json
episode_001,dominated,value,price_first,,ep001_vendor_005,BlinkDrop005,False,23.36,40,4.64,84.95,7.55,89.64,1.49,3.74,
episode_001,dominated,value,eta_first,,ep001_vendor_091,BlinkCart091,False,31.04,24,4.89,90.05,4.92,91.85,6.32,12.01,
episode_001,dominated,value,rating_first,,ep001_vendor_091,BlinkCart091,False,31.04,24,4.89,90.05,4.92,91.85,6.32,12.01,
episode_001,dominated,value,reliability_first,,ep001_vendor_091,BlinkCart091,False,31.04,24,4.89,90.05,4.92,91.85,6.32,12.01,
episode_001,dominated,value,balanced_equation,,ep001_vendor_085,BlinkHub085,False,25.36,25,4.74,88.0,5.85,91.18,2.64,5.56,
episode_001,dominated,value,random_equation,0,ep001_vendor_085,BlinkHub085,False,25.36,25,4.74,88.0,5.85,91.18,2.64,5.56,"[0.3333019052809082, 0.21441555123781145, 0.021436490711361757, 0.3978725088791667, 0.03297354389075188]"
episode_001,dominated,value,random_equation,1,ep001_vendor_085,BlinkHub085,False,25.36,25,4.74,88.0,5.85,91.18,2.64,5.56,"[0.01849955656414159, 0.5376376094647088, 0.15550876513825113, 0.10642976321050918, 0.18192430562238926]"
episode_001,dominated,value,random_equation,2,ep001_vendor_085,BlinkHub085,False,25.36,25,4.74,88.0,5.85,91.18,2.64,5.56,"[0.14263599320972345, 0.3556148362257273, 0.24272535967861766, 0.02707827926352966, 0.2319455316224018]"
episode_001,dominated,value,random_equation,3,ep001_vendor_085,BlinkHub085,False,25.36,25,4.74,88.0,5.85,91.18,2.64,5.56,"[0.3864353016960969, 0.29257879413792476, 0.11206810889728237, 0.14727813168590156, 0.06163966358279432]"
episode_001,dominated,value,random_equation,4,ep001_vendor_060,RocketFleet060,False,25.93,26,3.93,78.64,6.65,82.98,1.62,12.68,"[0.011949725061894345, 0.2041761209541127, 0.04497965327965412, 0.08500454866832365, 0.6538899520360153]"
episode_001,dominated,value,random_equation,5,ep001_vendor_012,SwiftDrop012,False,25.06,38,4.81,88.25,8.53,95.87,1.8,11.29,"[0.18139879801467632, 0.02551230333103983, 0.25914342102132887, 0.5141245538767482, 0.019820923756206837]"
episode_001,dominated,value,random_equation,6,ep001_vendor_012,SwiftDrop012,False,25.06,38,4.81,88.25,8.53,95.87,1.8,11.29,"[0.1040599433299, 0.005193450418749586, 0.5786355292432704, 0.14119753001943738, 0.1709135469886426]"
episode_001,dominated,value,random_equation,7,ep001_vendor_085,BlinkHub085,False,25.36,25,4.74,88.0,5.85,91.18,2.64,5.56,"[0.34666718911472194, 0.296823117710802, 0.06352050783820899, 0.28830265509274544, 0.004686530243521639]"
episode_001,dominated,value,random_equation,8,ep001_vendor_085,BlinkHub085,False,25.36,25,4.74,88.0,5.85,91.18,2.64,5.56,"[0.22907121772786812, 0.33896900339731834, 0.02332654463702424, 0.19085718009528088, 0.21777605414250842]"
episode_001,dominated,value,random_equation,9,ep001_vendor_045,PrimeLane045,False,23.83,29,4.61,81.79,7.92,84.84,1.7,5.52,"[0.4102880139695805, 0.13146083237443698, 0.16312917540820043, 0.07113700289085162, 0.2239849753569306]"
episode_001,dominated,value,random_equation,10,ep001_vendor_085,BlinkHub085,False,25.36,25,4.74,88.0,5.85,91.18,2.64,5.56,"[0.07525207451604765, 0.4206023916797256, 0.14528446447425947, 0.09326597977698634, 0.26559508955298083]"
episode_001,dominated,value,random_equation,11,ep001_vendor_085,BlinkHub085,False,25.36,25,4.74,88.0,5.85,91.18,2.64,5.56,"[0.296983074148021, 0.08143869190913874, 0.2536031416762179, 0.36316724334631517, 0.004807848920307249]"
episode_001,dominated,value,random_equation,12,ep001_vendor_085,BlinkHub085,False,25.36,25,4.74,88.0,5.85,91.18,2.64,5.56,"[0.1130749841965729, 0.775795125541187, 0.020746592335589724, 0.06473039932257516, 0.02565289860407536]"
episode_001,dominated,value,random_equation,13,ep001_vendor_091,BlinkCart091,False,31.04,24,4.89,90.05,4.92,91.85,6.32,12.01,"[0.005690423469315907, 0.14246842809772187, 0.11518518612728733, 0.6883387823383897, 0.04831717996728519]"
episode_001,dominated,value,random_equation,14,ep001_vendor_085,BlinkHub085,False,25.36,25,4.74,88.0,5.85,91.18,2.64,5.56,"[0.16626907056898477, 0.28116547204987924, 0.45968131516614763, 0.09139370936966615, 0.0014904328453221984]"
episode_001,dominated,value,random_equation,15,ep001_vendor_085,BlinkHub085,False,25.36,25,4.74,88.0,5.85,91.18,2.64,5.56,"[0.11128091562334574, 0.4321563859308624, 0.4198336412225994, 0.026356337636535224, 0.010372719586657229]"
episode_001,dominated,value,random_equation,16,ep001_vendor_012,SwiftDrop012,False,25.06,38,4.81,88.25,8.53,95.87,1.8,11.29,"[0.12057467534117469, 0.030615731396874502, 0.39469774610509617, 0.32670919876644994, 0.1274026483904046]"
episode_001,dominated,value,random_equation,17,ep001_vendor_091,BlinkCart091,False,31.04,24,4.89,90.05,4.92,91.85,6.32,12.01,"[0.0034719968307072527, 0.25784065198337125, 0.3474067490563981, 0.356620619225114, 0.03465998290440945]"
