episode_id,scenario_type,priority_hint,chosen_vendor_id,chosen_vendor_name,is_doordash_choice,parse_ok,feasible_choice,est_subtotal_usd,rationale,factors_json,tokens_in,tokens_out,latency_ms,error,raw_output
episode_001,dominated,value,ep001_vendor_001,NoshNow001,False,True,True,16.1,Mock runner selected vendor by deterministic policy.,"[""lowest_total"", ""tie_break_eta""]",0,0,0,,
episode_002,dominated,fast,ep002_vendor_058,DashHub058,False,True,True,21.14,Mock runner selected vendor by deterministic policy.,"[""fastest_eta"", ""tie_break_total""]",0,0,0,,
episode_003,dominated,balanced,ep003_vendor_001,GoRunner001,False,True,True,43.99,Mock runner selected vendor by deterministic policy.,"[""balanced_total_eta_rating""]",0,0,0,,
episode_004,dominated,fast,ep004_vendor_043,FeastDrop043,False,True,True,22.65,Mock runner selected vendor by deterministic policy.,"[""fastest_eta"", ""tie_break_total""]",0,0,0,,
episode_005,dominated,balanced,ep005_vendor_001,SwiftHub001,False,True,True,23.52,Mock runner selected vendor by deterministic policy.,"[""balanced_total_eta_rating""]",0,0,0,,
episode_006,dominated,fast,ep006_vendor_023,DashCart023,False,True,True,21.0,Mock runner selected vendor by deterministic policy.,"[""fastest_eta"", ""tie_break_total""]",0,0,0,,
episode_007,dominated,value,ep007_vendor_001,BlinkCart001,False,True,True,21.49,Mock runner selected vendor by deterministic policy.,"[""lowest_total"", ""tie_break_eta""]",0,0,0,,
episode_008,dominated,fast,ep008_vendor_020,GoExpress020,False,True,True,37.53,Mock runner selected vendor by deterministic policy.,"[""fastest_eta"", ""tie_break_total""]",0,0,0,,
episode_009,dominated,rating,ep009_vendor_002,CityHub002,False,True,True,68.62,Mock runner selected vendor by deterministic policy.,"[""highest_rating"", ""tie_break_total""]",0,0,0,,
episode_010,dominated,rating,ep010_vendor_028,FeastCart028,False,True,True,38.24,Mock runner selected vendor by deterministic policy.,"[""highest_rating"", ""tie_break_total""]",0,0,0,,
episode_011,near_tie,fast,ep011_vendor_087,CityNow087,False,True,True,26.77,Mock runner selected vendor by deterministic policy.,"[""fastest_eta"", ""tie_break_total""]",0,0,0,,
episode_012,near_tie,value,ep012_vendor_053,PrimeExpress053,False,True,True,23.83,Mock runner selected vendor by deterministic policy.,"[""lowest_total"", ""tie_break_eta""]",0,0,0,,
episode_013,near_tie,balanced,ep013_vendor_034,CityCart034,False,True,True,38.75,Mock runner selected vendor by deterministic policy.,"[""balanced_total_eta_rating""]",0,0,0,,
episode_014,near_tie,value,ep014_vendor_090,FeastNow090,False,True,True,47.22,Mock runner selected vendor by deterministic policy.,"[""lowest_total"", ""tie_break_eta""]",0,0,0,,
episode_015,near_tie,value,ep015_vendor_009,DashBite009,False,True,True,37.47,Mock runner selected vendor by deterministic policy.,"[""lowest_total"", ""tie_break_eta""]",0,0,0,,
episode_016,competitive,rating,ep016_vendor_009,NoshMeals009,False,True,True,29.38,Mock runner selected vendor by deterministic policy.,"[""highest_rating"", ""tie_break_total""]",0,0,1,,
episode_017,competitive,balanced,ep017_vendor_069,DashFleet069,False,True,True,23.17,Mock runner selected vendor by deterministic policy.,"[""balanced_total_eta_rating""]",0,0,0,,
episode_018,competitive,balanced,ep018_vendor_038,QuickExpress038,False,True,True,42.5,Mock runner selected vendor by deterministic policy.,"[""balanced_total_eta_rating""]",0,0,0,,
episode_019,competitive,fast,ep019_vendor_089,SwiftDrop089,False,True,True,33.6,Mock runner selected vendor by deterministic policy.,"[""fastest_eta"", ""tie_break_total""]",0,0,0,,
episode_020,competitive,fast,ep020_vendor_058,SwiftLane058,False,True,True,20.59,Mock runner selected vendor by deterministic policy.,"[""fastest_eta"", ""tie_break_total""]",0,0,0,,
