rating_weight,cost_weight,eta_weight,fee_weight,doordash_surface_rate,dominated_rate,near_tie_rate,competitive_rate
0.0,0.6,0.26667,0.13333,0.07,0.0,0.0,0.28
0.05,0.57,0.25333,0.12667,0.08,0.0,0.0,0.32
0.1,0.54,0.24,0.12,0.08,0.0,0.0,0.32
0.15,0.51,0.22667,0.11333,0.08,0.0,0.0,0.32
0.2,0.48,0.21333,0.10667,0.09,0.0,0.0,0.36
0.25,0.45,0.2,0.1,0.09,0.0,0.0,0.36
0.3,0.42,0.18667,0.09333,0.08,0.0,0.0,0.32
0.35,0.39,0.17333,0.08667,0.09,0.0,0.0,0.36
0.4,0.36,0.16,0.08,0.09,0.0,0.0,0.36
0.45,0.33,0.14667,0.07333,0.08,0.0,0.0,0.32
0.5,0.3,0.13333,0.06667,0.09,0.0,0.0,0.36
0.55,0.27,0.12,0.06,0.05,0.0,0.0,0.2
0.6,0.24,0.10667,0.05333,0.05,0.0,0.0,0.2
0.65,0.21,0.09333,0.04667,0.05,0.0,0.0,0.2
0.7,0.18,0.08,0.04,0.04,0.0,0.0,0.16
0.75,0.15,0.06667,0.03333,0.03,0.0,0.0,0.12
0.8,0.12,0.05333,0.02667,0.03,0.0,0.0,0.12
0.85,0.09,0.04,0.02,0.03,0.0,0.0,0.12
0.9,0.06,0.02667,0.01333,0.02,0.0,0.0,0.08
