rating_weight,cost_weight,eta_weight,fee_weight,doordash_surface_rate,dominated_rate,near_tie_rate,competitive_rate
0.0,0.6,0.26667,0.13333,0.07,0.0,0.0,0.28
0.01,0.594,0.264,0.132,0.07,0.0,0.0,0.28
0.02,0.588,0.26133,0.13067,0.07,0.0,0.0,0.28
0.03,0.582,0.25867,0.12933,0.07,0.0,0.0,0.28
0.04,0.576,0.256,0.128,0.07,0.0,0.0,0.28
0.05,0.57,0.25333,0.12667,0.08,0.0,0.0,0.32
0.06,0.564,0.25067,0.12533,0.08,0.0,0.0,0.32
0.07,0.558,0.248,0.124,0.08,0.0,0.0,0.32
0.08,0.552,0.24533,0.12267,0.08,0.0,0.0,0.32
0.09,0.546,0.24267,0.12133,0.08,0.0,0.0,0.32
0.1,0.54,0.24,0.12,0.08,0.0,0.0,0.32
0.11,0.534,0.23733,0.11867,0.08,0.0,0.0,0.32
0.12,0.528,0.23467,0.11733,0.08,0.0,0.0,0.32
0.13,0.522,0.232,0.116,0.08,0.0,0.0,0.32
0.14,0.516,0.22933,0.11467,0.08,0.0,0.0,0.32
0.15,0.51,0.22667,0.11333,0.08,0.0,0.0,0.32
0.16,0.504,0.224,0.112,0.09,0.0,0.0,0.36
0.17,0.498,0.22133,0.11067,0.09,0.0,0.0,0.36
0.18,0.492,0.21867,0.10933,0.09,0.0,0.0,0.36
0.19,0.486,0.216,0.108,0.09,0.0,0.0,0.36
0.2,0.48,0.21333,0.10667,0.09,0.0,0.0,0.36
0.21,0.474,0.21067,0.10533,0.09,0.0,0.0,0.36
0.22,0.468,0.208,0.104,0.09,0.0,0.0,0.36
0.23,0.462,0.20533,0.10267,0.09,0.0,0.0,0.36
0.24,0.456,0.20267,0.10133,0.09,0.0,0.0,0.36
0.25,0.45,0.2,0.1,0.09,0.0,0.0,0.36
0.26,0.444,0.19733,0.09867,0.09,0.0,0.0,0.36
0.27,0.438,0.19467,0.09733,0.09,0.0,0.0,0.36
0.28,0.432,0.192,0.096,0.08,0.0,0.0,0.32
0.29,0.426,0.18933,0.09467,0.08,0.0,0.0,0.32
0.3,0.42,0.18667,0.09333,0.08,0.0,0.0,0.32
0.31,0.414,0.184,0.092,0.08,0.0,0.0,0.32
0.32,0.408,0.18133,0.09067,0.08,0.0,0.0,0.32
0.33,0.402,0.17867,0.08933,0.08,0.0,0.0,0.32
0.34,0.396,0.176,0.088,0.08,0.0,0.0,0.32
0.35,0.39,0.17333,0.08667,0.09,0.0,0.0,0.36
0.36,0.384,0.17067,0.08533,0.09,0.0,0.0,0.36
0.37,0.378,0.168,0.084,0.09,0.0,0.0,0.36
0.38,0.372,0.16533,0.08267,0.08,0.0,0.0,0.32
0.39,0.366,0.16267,0.08133,0.09,0.0,0.0,0.36
0.4,0.36,0.16,0.08,0.09,0.0,0.0,0.36
0.41,0.354,0.15733,0.07867,0.09,0.0,0.0,0.36
0.42,0.348,0.15467,0.07733,0.09,0.0,0.0,0.36
0.43,0.342,0.152,0.076,0.09,0.0,0.0,0.36
0.44,0.336,0.14933,0.07467,0.09,0.0,0.0,0.36
0.45,0.33,0.14667,0.07333,0.08,0.0,0.0,0.32
0.46,0.324,0.144,0.072,0.08,0.0,0.0,0.32
0.47,0.318,0.14133,0.07067,0.08,0.0,0.0,0.32
0.48,0.312,0.13867,0.06933,0.08,0.0,0.0,0.32
0.49,0.306,0.136,0.068,0.09,0.0,0.0,0.36
0.5,0.3,0.13333,0.06667,0.09,0.0,0.0,0.36
0.51,0.294,0.13067,0.06533,0.09,0.0,0.0,0.36
0.52,0.288,0.128,0.064,0.09,0.0,0.0,0.36
0.53,0.282,0.12533,0.06267,0.08,0.0,0.0,0.32
0.54,0.276,0.12267,0.06133,0.07,0.0,0.0,0.28
0.55,0.27,0.12,0.06,0.05,0.0,0.0,0.2
0.56,0.264,0.11733,0.05867,0.05,0.0,0.0,0.2
0.57,0.258,0.11467,0.05733,0.05,0.0,0.0,0.2
0.58,0.252,0.112,0.056,0.05,0.0,0.0,0.2
0.59,0.246,0.10933,0.05467,0.05,0.0,0.0,0.2
0.6,0.24,0.10667,0.05333,0.05,0.0,0.0,0.2
0.61,0.234,0.104,0.052,0.05,0.0,0.0,0.2
0.62,0.228,0.10133,0.05067,0.05,0.0,0.0,0.2
0.63,0.222,0.09867,0.04933,0.05,0.0,0.0,0.2
0.64,0.216,0.096,0.048,0.05,0.0,0.0,0.2
0.65,0.21,0.09333,0.04667,0.05,0.0,0.0,0.2
0.66,0.204,0.09067,0.04533,0.05,0.0,0.0,0.2
0.67,0.198,0.088,0.044,0.05,0.0,0.0,0.2
0.68,0.192,0.08533,0.04267,0.04,0.0,0.0,0.16
0.69,0.186,0.08267,0.04133,0.04,0.0,0.0,0.16
0.7,0.18,0.08,0.04,0.04,0.0,0.0,0.16
0.71,0.174,0.07733,0.03867,0.04,0.0,0.0,0.16
